phenophase_id,phenophase_name,phenophase_category,color,pheno_class_id
502,Pollen release ,Flowers,Green2,8
503,Pollen release ,Pollen cones,Green2,8
504,Recent fruit or seed drop,Fruits,Green3,13
505,Young leaves ,Leaves,Green1,2
506,Caterpillars in tent,Development,Brown3,110
507,Subadults,Development,Brown3,114
508,Initial growth ,Leaves,Green1,1
509,Leaves ,Leaves,Green1,3
510,New side branches ,Leaves,Green1,2
511,Receptacles,Flowers,Green2,6
512,Flat receptacles,Flowers,Green2,6
513,Smooth inflated receptacles,Flowers,Green2,6
514,Dotted inflated receptacles,Flowers,Green2,6
515,Torn receptacles,Flowers,Green2,9
516,Fruits,Fruits,Green3,10
517,Nest building ,Reproduction,Brown2,86
518,Nest building ,Reproduction,Brown2,86
519,Drone cells,Reproduction,Brown2,93
520,Nest provisioning ,Reproduction,Brown2,95
521,Eggs ,Reproduction,Brown2,90
522,Pupae,Development,Brown3,115
523,Dead adults ,Development,Brown3,130
524,Eggs,Reproduction,Brown2,90
525,Winged adults,Activity,Brown1,81
526,Dead nymphs ,Development,Brown3,134
527,Nest provisioning ,Reproduction,Brown2,95
528,Courtship calling,Reproduction,Brown2,78
529,Recent egg laying ,Reproduction,Brown2,91
530,Cast-off skins ,Development,Brown3,117
531,Eggs ,Reproduction,Brown2,90
532,Larvae feeding,Development,Brown3,74
533,Dead larvae,Development,Brown3,132
539,Downy young ,Development,Brown3,100
540,Partially-fledged young ,Development,Brown3,101
541,Fledged young ,Development,Brown3,102
542,Feeding ,Activity,Brown1,68
544,Dormant nymphs,Development,Brown3,129
545,Post-dormant nymphs,Development,Brown3,113
546,Crawlers,Development,Brown3,112
547,Egg laying,Reproduction,Brown2,136
548,Egg laying ,Reproduction,Brown2,136
549,Mating ,Reproduction,Brown2,82
