species_id,common_name,genus,genus_id,genus_common_name,species,kingdom,itis_taxonomic_sn,functional_type,class_id,class_common_name,class_name,order_id,order_common_name,order_name,family_id,family_name,family_common_name,species_type
2124,leatherweed,Croton,1194,Crotons (Croton),pottsii,Plantae,28285,Forb,15,Flowering Plants,Magnoliopsida,87,"Spurge, Willow and Violet Families",Malpighiales,269,Euphorbiaceae,Spurge Family,"[{'Species_Type_ID': 3, 'Species_Type': 'Forb', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss11western_columbine_forbs_final.png'}]"
785,lechuguilla,Agave,385,Agaves (Agave),lechuguilla,Plantae,182675,Evergreen broadleaf,15,Flowering Plants,Magnoliopsida,68,"Asparagas, Iris, Orchid and Aloe Families",Asparagales,241,Asparagaceae,Asparagas Family,"[{'Species_Type_ID': 1, 'Species_Type': 'Ornamental', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 9, 'Species_Type': 'Evergreen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss8red_spruce_conifer_final.png'}, {'Species_Type_ID': 26, 'Species_Type': 'Focal', 'Comment': None, 'User_Display': 1, 'Kingdom': None, 'Image_Path': None}]"
1152,Lehmann lovegrass,Eragrostis,621,Lovegrasses (Eragrostis),lehmanniana,Plantae,565171,Graminoid,15,Flowering Plants,Magnoliopsida,93,"Grass, Sedge, Rush and Cattail Families",Poales,317,Poaceae,Grass Family,"[{'Species_Type_ID': 4, 'Species_Type': 'Invasive Plants', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 12, 'Species_Type': 'Grass/Sedge/Rush', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss3buffalograss_grasses_final.png'}]"
2323,lemon beebalm,Monarda,809,Beebalms (Monarda),citriodora,Plantae,32280,Forb,15,Flowering Plants,Magnoliopsida,83,"Mint, Olive and Plantain Families",Lamiales,286,Lamiaceae,Mint Family,"[{'Species_Type_ID': 1, 'Species_Type': 'Ornamental', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 3, 'Species_Type': 'Forb', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss11western_columbine_forbs_final.png'}]"
995,lemonade sumac,Rhus,960,Sumacs (Rhus),integrifolia,Plantae,28783,Evergreen broadleaf,15,Flowering Plants,Magnoliopsida,97,"Sumac, Rue and Soapberry Families",Sapindales,232,Anacardiaceae,Sumac Family,"[{'Species_Type_ID': 1, 'Species_Type': 'Ornamental', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': None}, {'Species_Type_ID': 9, 'Species_Type': 'Evergreen', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss8red_spruce_conifer_final.png'}]"
1684,leopard lily,Lilium,756,Lilies (Lilium),pardalinum,Plantae,42743,Forb,15,Flowering Plants,Magnoliopsida,85,"Colchicum, Lily and Bunchflower Families",Liliales,289,Liliaceae,Lily Family,"[{'Species_Type_ID': 3, 'Species_Type': 'Forb', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss11western_columbine_forbs_final.png'}]"
1091,lesser goldfinch,Spinus,1013,Goldfinches (Spinus),psaltria,Animalia,179254,Bird,5,Birds,Aves,31,Perching Birds,Passeriformes,352,Fringillidae,"Finches, Euphonias, and Allies","[{'Species_Type_ID': 15, 'Species_Type': 'Bird', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Animalia', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss2black_chinned_hummingbird_bird_final.png'}]"
2226,lesser panicled sedge,Carex,496,Sedges (Carex),diandra,Plantae,39448,Graminoid,15,Flowering Plants,Magnoliopsida,93,"Grass, Sedge, Rush and Cattail Families",Poales,264,Cyperaceae,Sedge Family,"[{'Species_Type_ID': 12, 'Species_Type': 'Grass/Sedge/Rush', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss3buffalograss_grasses_final.png'}]"
2211,lesser snakeroot,Ageratina,387,Snakeroots (Ageratina),aromatica,Plantae,36467,Forb,15,Flowering Plants,Magnoliopsida,69,"Aster, Bellflower and Buckbean Families",Asterales,242,Asteraceae,Aster Family,"[{'Species_Type_ID': 3, 'Species_Type': 'Forb', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Plantae', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss11western_columbine_forbs_final.png'}]"
1127,lesser yellowlegs,Tringa,1068,Redshanks (Tringa),flavipes,Animalia,176620,Bird,5,Birds,Aves,23,"Shorebirds, Gulls and Auks",Charadriiformes,122,Scolopacidae,Sandpipers and Allies,"[{'Species_Type_ID': 15, 'Species_Type': 'Bird', 'Comment': None, 'User_Display': 1, 'Kingdom': 'Animalia', 'Image_Path': 'http://www.usanpn.org/files/shared/images/ss2black_chinned_hummingbird_bird_final.png'}]"
